Location,Category,Business Name,Phone Number,Website URL,Rating,Review Count
Nashik Road,dentist,Samruddhi Dental Clinic,,,4.6,10.0
Nashik Road,dentist,Sanjivani Dental Clinic,077983 53357,,5.0,62.0
Nashik Road,dentist,Dr Shreya's The Sweet Tooth Dental Clinic,096899 76574,,5.0,31.0
Nashik Road,dentist,Surana Dental,0253 246 5699,,4.9,52.0
Nashik Road,dentist,GREAT SMILES DENTAL CLINIC,094200 95303,,5.0,1.0
Nashik Road,dentist,Shree Ganesh Dental Clinic Dr. Dugad,093267 31651,,4.3,7.0
Nashik Road,dentist,Sushil Dental Care,082085 59651,,5.0,15.0
Nashik Road,dentist,Shri Sai Lokseva Trust Dental Clinic And Implant Centre,092700 48823,,4.9,9.0
Nashik Road,dentist,Dr. Mokal's,099224 35479,,4.9,32.0
Nashik Road,dentist,Dr. Samir Dental Clinic,098906 34618,,5.0,1.0
