Location,Category,Business Name,Phone Number,Website URL,Rating,Review Count
Nashik,premium bakery,"The Cake Tree (Bakery, Ice-Cream, Cafe and Snacks)",086989 21009,,4.7,313.0
Nashik,premium bakery,Miracle Bake Studio,096732 20593,,5.0,22.0
Nashik,premium bakery,Boss Bakery - Best Bakery in Nashik city 1 branch (2 gangapur road),077768 72806,,2.9,36.0
Nashik,premium bakery,The Flora Bakery,070835 17862,,5.0,8.0
Nashik,premium bakery,The Pastry Place,075178 66329,,5.0,23.0
Nashik,premium bakery,Rudrani cakes & pastries,,,4.7,225.0
Nashik,premium bakery,Leela's Baker's,090115 58854,,4.6,73.0
Nashik,premium bakery,Fresh Up Bakery,094222 74828,,4.0,714.0
Nashik,premium bakery,The Cake Factory,088560 08143,,5.0,27.0
Nashik,premium bakery,Albion bakers & cafe,073870 04398,,4.5,183.0
Nashik,premium bakery,GOPAL'S FOODS,,,4.3,499.0
Nashik,premium bakery,Tanuja's Cakes ( Home Baker's Nashik),094237 72091,,5.0,32.0
Nashik,premium bakery,The Bakereinaa - Best Bakery in Nashik,097665 03093,,4.8,18.0
Nashik,premium bakery,Cake Paradise,075076 47054,,4.8,24.0
Nashik,premium bakery,U2 cake - Best cake in nashik,,,5.0,3.0
Nashik,premium bakery,Delighto cheesecakes,095453 66509,,5.0,42.0
Nashik,premium bakery,AN Baker's,,,5.0,17.0
Nashik,premium bakery,Tejaswi cakes nashik,086008 31774,,5.0,30.0
Nashik,premium bakery,Bunny's Bakers,,,4.8,43.0
Nashik,premium bakery,Sonali Bakery Cakewala,,,,
Nashik,premium bakery,Cakeouflage,096735 65935,,4.6,27.0
Nashik,premium bakery,Best Bakery,098224 63475,,3.5,4.0
Nashik,premium bakery,Surti Wafers,0253 251 0605,,4.5,102.0
Nashik,premium bakery,NASHIK BAKERS-FAMOUS BEKARY,092471 71717,,5.0,7.0
Nashik,premium bakery,Elegant Bakers,088054 42599,,4.6,68.0
Nashik,premium bakery,Bakers Craft,082086 47816,,3.8,65.0
Nashik,premium bakery,"U2 Cake Jatra Hotel, Nashik",093222 14848,,4.1,10.0
Nashik,premium bakery,Emporio Coffee Lounge (Best Coffee Shop at CCM),084828 16555,,4.8,210.0
Nashik,premium bakery,The Cake Store- Online Home Cake Delivery Shop In Nashik,087889 77588,,4.8,95.0
Nashik,premium bakery,VM Celebrations,089280 04567,,3.2,130.0
Nashik,premium bakery,99 Pancakes,090211 85857,,4.1,400.0
Nashik,premium bakery,A One Bakers & Kirana Store,,,4.1,53.0
Nashik,premium bakery,Bangalore Iyangar Bakery,095610 61113,,4.2,41.0
Nashik,premium bakery,New Fresh baker's,095791 56066,,3.7,3.0
