Location,Category,Business Name,Phone Number,Website URL,Rating,Review Count
"Bytco Point, Nashik Road",nail salon,Duo Glam Nail Studio nashikroad,,,5.0,10.0
"Bytco Point, Nashik Road",nail salon,Glossy_Nails by harshita NASHIK,070307 50137,,,
"Bytco Point, Nashik Road",nail salon,Nailartist_sandhyaa,,https://www.instagram.com/nailartist_sandhyaa?igsh=MXc1d21pYTc4NjE0dg==&utm_source=qr,,
"Bytco Point, Nashik Road",nail salon,Nail art,,,5.0,1.0
"Bytco Point, Nashik Road",nail salon,Nailart by Rutika,080806 36892,http://www.nailartbyrutika.in/,4.8,91.0
"Bytco Point, Nashik Road",nail salon,Sree kalas beauty salon,095183 25609,,,
"Bytco Point, Nashik Road",nail salon,IBT International Beauty Academy,077700 70108,https://ibtbeautyacademy.in/,4.8,170.0
"Bytco Point, Nashik Road",nail salon,PRACHI NAILS STUDIO,096232 02320,https://www.instagram.com/prachi_nailsstudio/,4.9,163.0
"Bytco Point, Nashik Road",nail salon,Priti's Beauty Studio,094210 43901,,5.0,3.0
"Bytco Point, Nashik Road",nail salon,Rupali lifestyle dipptizmakeovers,095619 80176,,4.8,147.0
"Bytco Point, Nashik Road",nail salon,Style Beauty Salon,095952 82711,,3.5,24.0
"Bytco Point, Nashik Road",nail salon,Nails and Beauty by Sonali,099230 23633,https://www.finddit.in/listingdeatils.php?b=MTg2,4.6,60.0
"Bytco Point, Nashik Road",nail salon,Shree Nail And Mehendi Art,080555 78316,,5.0,1.0
"Bytco Point, Nashik Road",nail salon,Ambience Spa and Salon Nashik,084228 02601,https://www.ambiencespaandsalonnashik.com/,4.6,77.0
"Bytco Point, Nashik Road",nail salon,Honey Beauty Studio & Academy,077568 05341,,4.9,241.0
"Bytco Point, Nashik Road",nail salon,Gunpriya's Makeover,093563 80386,,5.0,17.0
"Bytco Point, Nashik Road",nail salon,Anaya Makeup Studio & Saloon,096995 60251,,5.0,47.0
"Bytco Point, Nashik Road",nail salon,Elegant nails by himanshi,080556 45450,https://www.instagram.com/invites/contact/?i=1mo1wpurdfyke&utm_content=2bssqsr,3.4,14.0
"Bytco Point, Nashik Road",nail salon,Show Stopper Unisex Salon,086980 34013,,4.4,354.0
"Bytco Point, Nashik Road",nail salon,Kalyani makeover studio,093598 00742,https://www.instagram.com/kalyani_makeover_studio_?igsh=MWdtN3h0anR6amFqcQ==,5.0,74.0
"Bytco Point, Nashik Road",nail salon,Jaziee Nails,074480 90579,,5.0,2.0
"Bytco Point, Nashik Road",nail salon,Zenicure Wellness &Spa,096994 64287,,3.3,7.0
"Bytco Point, Nashik Road",nail salon,My Beauty Blush,093094 77237,,5.0,19.0
"Bytco Point, Nashik Road",nail salon,Poonam Beauty Parlour & Academy,,,4.9,22.0
"Bytco Point, Nashik Road",nail salon,Lotus Beauty Care Only for Women,098220 62940,,4.9,117.0
"Bytco Point, Nashik Road",nail salon,Miss Glamour,088887 34728,,4.9,13.0
"Bytco Point, Nashik Road",nail salon,Darshu's Nail Art,096041 37566,,4.0,1.0
"Bytco Point, Nashik Road",nail salon,Archana Beauty Salon & Academy,,,5.0,2.0
"Bytco Point, Nashik Road",aesthetic clinic,"SkinAccess Clinics, Nashik Road- Dr. Nishant Ghodake, MD (Skin) (JIPMER)",077570 09588,https://www.skinaccess.in/,4.8,308.0
"Bytco Point, Nashik Road",aesthetic clinic,Dr. Manisha Avhad's Skin Clinic,077180 61690,,4.8,18.0
"Bytco Point, Nashik Road",aesthetic clinic,Dr.Manekar Maternity (Hospital & skin Care Center),0253 245 2639,https://drmanekarhospital.in/,4.3,51.0
"Bytco Point, Nashik Road",aesthetic clinic,"New Roots: Skin, Laser & Hair Transplant Clinic",093255 58888,https://newrootsskinhairlaser.com/hair-care/best-hair-transplant-clinic-nashik/,4.9,74.0
"Bytco Point, Nashik Road",aesthetic clinic,SkinoVedics Skin and Hair Clinic,076666 82764,,4.9,99.0
"Bytco Point, Nashik Road",aesthetic clinic,Dr Sheetal’s Skin and Hair Clinic,075886 06599,,4.8,26.0
"Bytco Point, Nashik Road",aesthetic clinic,"NiTi Skin and Hair Clinic, Dr Trupti Desale Surana",080 4803 9019,https://www.nitiskinandhairclinic.com/,4.8,272.0
"Bytco Point, Nashik Road",aesthetic clinic,Elite Kalpana Skin Clinic,086550 01328,,4.9,30.0
"Bytco Point, Nashik Road",aesthetic clinic,Dr. Tushar Bhoge,,,4.8,14.0
